    "柳葉敏郎"	258
    "柴咲コウ"	344
    "栗山千明"	139
    "桐谷美玲"	306
    "桜庭ななみ"	225
    "椎名林檎"	271
    "椎名桔平"	38
    "榮倉奈々"	217
    "横山裕"	330
    "檀れい"	22
    "櫻井淳子"	313
    "櫻井翔"	354
    "武井咲"	135
    "比嘉愛未"	142
    "水嶋ヒロ"	48
    "水川あさみ"	64
    "水谷豊"	183
    "永井大"	56
    "永作博美"	280
    "江口洋介"	281
    "江角マキコ"	159
    "池松壮亮"	160
    "池田鉄洋"	266
    "沢口靖子"	21
    "沢尻エリカ"	255
    "沢村一樹"	220
    "泉ピン子"	79
    "泉谷しげる"	239
    "浅野温子"	47
    "浜崎あゆみ"	140
    "深田恭子"	113
    "渡瀬恒彦"	232
    "渡辺麻友"	117
    "渡部篤郎"	218
    "湘南乃風"	386
    "満島ひかり"	262
    "満島真之介"	53
    "溝端淳平"	61
    "滝沢秀明"	317
    "濱田岳"	11
    "瀧本美織"	94
    "瀬戸康史"	373
    "瀬戸朝香"	118
    "片瀬那奈"	278
    "玉木宏"	229
    "玉森裕太"	16
    "瑛太"	132
    "生瀬勝久"	86
    "生田斗真"	24
    "田中直樹"	323
    "田中美佐子"	320
    "田中裕子"	353
    "田中麗奈"	382
    "田辺誠一"	141
    "相武紗季"	185
    "相葉雅紀"	75
    "真木よう子"	186
    "真矢みき"	345
    "矢井田瞳"	193
    "矢田亜希子"	65
    "石原さとみ"	378
    "石塚英彦"	205
    "石橋杏奈"	143
    "石田ゆり子"	158
    "神木隆之介"	387
    "福士蒼汰"	275
    "福士誠治"	234
    "福山雅治"	155
    "福田沙紀"	272
    "稲垣吾郎"	283
    "稲森いずみ"	381
    "窪田正孝"	0
    "竹内まりや"	181
    "竹内結子"	58
    "竹野内豊"	273
    "筒井道隆"	190
    "筧利夫"	215
    "篠原涼子"	335
    "米倉涼子"	44
    "綾瀬はるか"	235
    "綾野剛"	1
    "織田裕二"	104
    "舘ひろし"	108
    "船越英一郎"	270
    "芦田愛菜"	138
    "若村麻由美"	244
    "草なぎ剛"	343
    "菅野美穂"	350
    "菊川怜"	163
    "萬田久子"	349
    "蒼井優"	110
    "蓮佛美沙子"	380
    "藤ヶ谷太輔"	301
    "藤原紀香"	101
    "藤木直人"	57
    "西内まりや"	66
    "西島秀俊"	284
    "西島隆弘"	72
    "西村雅彦"	304
    "西野カナ"	127
    "要潤"	251
    "観月ありさ"	197
    "谷原章介"	23
    "谷村美月"	259
    "財前直見"	257
    "貫地谷しほり"	364
    "近藤晃央"	52
    "速水もこみち"	69
    "釈由美子"	77
    "里見浩太朗"	298
    "金子ノブアキ"	361
    "鈴木京香"	137
    "鈴木杏"	316
    "鈴木梨央"	172
    "錦戸亮"	274
    "長澤まさみ"	347
    "長瀬智也"	131
    "長谷川京子"	91
    "長谷川博己"	198
    "関ジャニ"	294
    "阪井あゆみ"	279
    "阿部サダヲ"	351
    "阿部寛"	368
    "陣内孝則"	219
    "青山テルマ"	25
    "青木崇高"	154
    "青柳翔"	248
    "香取慎吾"	328
    "香川照之"	367
    "香椎由宇"	201
    "香里奈"	74
    "馬場俊英"	224
    "高嶋政伸"	82
    "高橋優"	13
    "高橋光臣"	71
    "高橋克典"	214
    "高橋克実"	337
    "高良健吾"	216
    "鴉"	35
    "麻生久美子"	311
    "黒木メイサ"	242
    "黒木瞳"	370
