5~10	オダギリジョー	長澤まさみ	いきものがかり	21
5~10	里見浩太朗	原田龍二	合田雅吏	20
10~15	山下智久	北川景子	B'z	21
15~20	江口洋介	松嶋菜々子	DREAMS COME TRUE	21
5~10	中山優馬	加藤ローサ	中山優馬	22
5~10	瀬戸朝香	大倉孝二	None	21
10~15	渡瀬恒彦	井ノ原快彦	V6	21
5~10	大泉洋	香椎由宇	原由子	22
10~15	沢口靖子	内藤剛志	木山裕策	20
5~10	舘ひろし	南沢奈央	浜崎あゆみ	21
10~15	草なぎ剛	夏川結衣	SMAP	22
under5	市原隼人	芦名星	mihimaru GT	23
5~10	田中麗奈	徳井義実	None	22
5~10	滝沢秀明	錦戸亮	滝沢秀明 	22
5~10	福田沙紀	原田龍二	JYONGRI	23
5~10	小泉孝太郎	ミムラ	ソナーポケット	21
5~10	福士誠治	斎藤工	None	19
5~10	筒井道隆	牧瀬里穂	今井美樹	21
5~10	森山未來	加藤あい	斉藤和義	21
5~10	香取慎吾	香里奈	両津勘吉	19
5~10	岡田将生	夏帆	柴咲コウ	23
10~15	長瀬智也	渡哲也	TOKIO	21
5~10	佐藤浩市	北大路欣也	コブクロ	21
15~20	小栗旬	水嶋ヒロ	EXILE	21
10~15	戸田恵梨香	松田翔太	None	21
5~10	香里奈	黒木瞳	坂詰美紗子	22
5~10	岡田将生	夏帆	柴咲コウ	21
5~10	沢村一樹	風間杜夫	馬場俊英	21
15~20	水谷豊	及川光博	None	21
10~15	藤原紀香	松下由樹	lecca	22
5~10	大倉忠義	安田章大	None	20
10~15	米倉涼子	陣内孝則	傳田真央	21
10~15	船越英一郎	萬田久子	None	20
10~15	唐沢寿明	和久井映見	None	22
under5	向井理	南明奈	None	23
under5	國村隼	金田明夫	小林桂	22
5~10	観月ありさ	小池徹平	北口和沙	22
5~10	相葉雅紀	優香	嵐	23
5~10	仲間由紀恵	要潤	GIRL NEXT DOOR	21
5~10	佐々木蔵之介	富田靖子	CHEMISTRY	21
5~10	渡部篤郎	石田ゆり子	None	21
5~10	志田未来	林遣都	UVER world	19
10~15	三浦春馬	城田優	monobright	21
15~20	本木雅弘	阿部寛	None	20
under5	黒木瞳	横山めぐみ	None	23
15~20	大沢たかお	中谷美紀	MISIA	21
10~15	佐々木蔵之介	中村俊介	None	20
15~20	山下智久	新垣結衣	Mr.Children	21
10~15	榮倉奈々	藤木直人	miwa	21
5~10	佐藤隆太	深田恭子	トータス松本	22
5~10	中村梅雀	菊川怜	None	21
10~15	菅野美穂	永作博美	aiko	22
5~10	朝倉あき	池松壮亮	東方神起	20
10~15	寺脇康文	富田靖子	369	20
5~10	長谷川京子	生瀬勝久	レミオロメン	21
under5	板尾創路	宅麻伸	板尾こうせつ	23
5~10	亀梨和也	手越祐也	KAT-TUN	22
5~10	永井大	宇津井健	None	23
5~10	北村一輝	真野響子	None	21
under5	前田敦子	大島優子	AKB48	24
5~10	成海璃子	平岡祐太	初音	19
5~10	坂口憲二	田中美佐子	久保田利伸	21
5~10	三浦春馬	佐藤健	flumpool	19
5~10	山田涼介	横山裕	Hey!Say!JUMP	21
15~20	福山雅治	香川照之	None	20
5~10	櫻井翔	堀北真希	None	21
5~10	里見浩太朗	原田龍二	合田雅吏	20
15~20	木村拓哉	篠原涼子	久保田利伸	21
5~10	檀れい	北乃きい	城南海	22
5~10	阿部サダヲ	佐藤江梨子	None	22
10~15	上戸彩	北大路欣也	None	21
10~15	伊藤淳史	仲村トオル	松田聖子	22
15~20	内野聖陽	松下由樹	平原綾香	21
10~15	松雪泰子	田中裕子	hinaco	22
under5	荒井萌	広瀬アリス	JURIAN BEAT CRISIS	24
10~15	黒木瞳	高橋克典	阪井あゆみ	21
10~15	渡瀬恒彦	櫻井淳子	安全地帯	20
10~15	瑛太	上野樹里	WEAVER	22
under5	加藤ローサ	片瀬那奈	ステレオポニー	23
10~15	成宮寛貴	仲里依紗	ヒルクライム	22
10~15	沢村一樹	北村有起哉	JUJU	21
10~15	生瀬勝久	池田鉄洋	小林太郎	23
10~15	吉瀬美智子	要潤	ケツメイシ	23
5~10	橘慶太	松平健	w-inds.	19
5~10	江口洋介	ARATA	None	21
5~10	山本裕典	瀬戸康史	Honey L Days	19
10~15	大野智	稲森いずみ	None	21
10~15	阿部寛	黒木メイサ	山下達郎	21
5~10	桐谷美玲	黒川智花	GIRL NEXT DOOR	23
10~15	佐々木蔵之介	中村俊介	None	20
10~15	松本潤	竹内結子	嵐	21
5~10	観月ありさ	イッセー尾形	河口恭吾	22
5~10	上戸彩	内野聖陽	None	22
under5	佐々木希	中村倫也	コブクロ	24
10~15	堺雅人	錦戸亮	RIP SLYME	21
5~10	上地雄輔	石原さとみ	和紗	22
10~15	渡瀬恒彦	井ノ原快彦	V6	21
15~20	綾瀬はるか	藤木直人	いきものがかり	22
10~15	沢口靖子	内藤剛志	菅原紗由理	20
10~15	木村佳乃	筒井道隆	AI	21
5~10	天海祐希	長澤まさみ	Superfly	22
under5	仲里依紗	青木崇高	ゴーストノート	23
under5	中村優一	ちすん	たむらぱん	24
5~10	長瀬智也	生田斗真	TOKIO	22
5~10	オダギリジョー	栗山千明	東京事変	23
5~10	山田優	塚地武雅	AAA	21
5~10	市川由衣	高嶋政伸	馬場俊英	19
5~10	小池徹平	陣内孝則	moumoon	21
5~10	藤原紀香	市川亀治郎	Takamiy	21
5~10	速水もこみち	志田未来	SPYAIR	19
5~10	吉高由里子	林遣都	福山雅治	21
5~10	東山紀之	椎名桔平	関ジャニ	21
10~15	里見浩太朗	東幹久	東幹久	20
under5	伊藤淳史	ARATA	None	22
10~15	竹野内豊	上戸彩	コブクロ	21
5~10	鈴木京香	深田恭子	倖田來未	22
under5	山田孝之	片瀬那奈	鴉	24
15~20	二宮和也	香里奈	嵐	21
10~15	菅野美穂	玉木宏	JUJU	22
20~25	水谷豊	及川光博	None	21
10~15	篠原涼子	大泉洋	伊藤由奈	22
10~15	泉ピン子	宇津井健	None	21
10~15	米倉涼子	柳葉敏郎	DREAMS COME TRUE	21
10~15	名取裕子	寺島進	Tiara	20
